date,real,nominal
1932-09-01,421.34,20.780
1932-10-01,424.49,20.780
1932-11-01,427.71,20.780
1932-12-01,430.98,20.780
1933-01-01,557.51,26.470
1933-02-01,566.27,26.470
1933-03-01,570.77,26.470
1933-04-01,570.77,26.470
1933-05-01,570.77,26.470
1933-06-01,566.27,26.470
1933-07-01,548.99,26.470
1933-08-01,544.83,26.470
1933-09-01,544.83,26.470
1933-10-01,544.83,26.470
1933-11-01,544.83,26.470
1933-12-01,544.83,26.470
1934-01-01,720.41,35.000
1934-02-01,714.98,35.000
1934-03-01,714.98,35.000
1934-04-01,714.98,35.000
1934-05-01,714.98,35.000
1934-06-01,709.66,35.000
1934-07-01,709.66,35.000
1934-08-01,709.66,35.000
1934-09-01,699.23,35.000
1934-10-01,704.41,35.000
1934-11-01,704.41,35.000
1934-12-01,709.66,35.000
1935-01-01,699.23,35.000
1935-02-01,694.12,35.000
1935-03-01,694.12,35.000
1935-04-01,689.08,35.000
1935-05-01,689.08,35.000
1935-06-01,694.12,35.000
1935-07-01,694.12,35.000
1935-08-01,694.12,35.000
1935-09-01,694.12,35.000
1935-10-01,694.12,35.000
1935-11-01,689.08,35.000
1935-12-01,689.08,35.000
1936-01-01,689.08,35.000
1936-02-01,689.08,35.000
1936-03-01,694.12,35.000
1936-04-01,694.12,35.000
1936-05-01,694.12,35.000
1936-06-01,689.08,35.000
1936-07-01,684.11,35.000
1936-08-01,679.25,35.000
1936-09-01,679.25,35.000
1936-10-01,679.25,35.000
1936-11-01,679.25,35.000
1936-12-01,679.25,35.000
1937-01-01,674.42,35.000
1937-02-01,674.42,35.000
1937-03-01,669.69,35.000
1937-04-01,665.00,35.000
1937-05-01,660.38,35.000
1937-06-01,660.38,35.000
1937-07-01,655.83,35.000
1937-08-01,655.83,35.000
1937-09-01,651.32,35.000
1937-10-01,651.32,35.000
1937-11-01,655.83,35.000
1937-12-01,660.38,35.000
1938-01-01,669.69,35.000
1938-02-01,674.42,35.000
1938-03-01,674.42,35.000
1938-04-01,669.69,35.000
1938-05-01,674.42,35.000
1938-06-01,674.42,35.000
1938-07-01,674.42,35.000
1938-08-01,674.42,35.000
1938-09-01,674.42,35.000
1938-10-01,679.25,35.000
1938-11-01,679.25,35.000
1938-12-01,679.25,35.000
1939-01-01,673.23,34.690
1939-02-01,678.05,34.690
1939-03-01,678.05,34.690
1939-04-01,682.98,34.690
1939-05-01,682.98,34.690
1939-06-01,682.98,34.690
1939-07-01,682.98,34.690
1939-08-01,682.98,34.690
1939-09-01,668.44,34.690
1939-10-01,673.23,34.690
1939-11-01,673.23,34.690
1939-12-01,673.23,34.690
1940-01-01,665.74,34.060
1940-02-01,661.00,34.060
1940-03-01,661.00,34.060
1940-04-01,661.00,34.060
1940-05-01,661.00,34.060
1940-06-01,656.30,34.060
1940-07-01,661.00,34.060
1940-08-01,661.00,34.060
1940-09-01,661.00,34.060
1940-10-01,661.00,34.060
1940-11-01,661.00,34.060
1940-12-01,656.30,34.060
1941-01-01,656.30,34.060
1941-02-01,656.30,34.060
1941-03-01,651.70,34.060
1941-04-01,647.14,34.060
1941-05-01,642.64,34.060
1941-06-01,629.53,34.060
1941-07-01,629.53,34.060
1941-08-01,621.08,34.060
1941-09-01,612.84,34.060
1941-10-01,604.84,34.060
1941-11-01,600.92,34.060
1941-12-01,597.04,34.060
1942-01-01,589.41,34.060
1942-02-01,585.70,34.060
1942-03-01,578.37,34.060
1942-04-01,574.80,34.060
1942-05-01,567.71,34.060
1942-06-01,567.71,34.060
1942-07-01,564.27,34.060
1942-08-01,560.83,34.060
1942-09-01,560.83,34.060
1942-10-01,554.12,34.060
1942-11-01,550.82,34.060
1942-12-01,547.58,34.060
1943-01-01,547.58,34.060
1943-02-01,547.58,34.060
1943-03-01,538.01,34.060
1943-04-01,531.85,34.060
1943-05-01,528.78,34.060
1943-06-01,528.78,34.060
1943-07-01,531.85,34.060
1943-08-01,534.91,34.060
1943-09-01,531.85,34.060
1943-10-01,531.85,34.060
1943-11-01,531.85,34.060
1943-12-01,531.85,34.060
1944-01-01,531.85,34.060
1944-02-01,531.85,34.060
1944-03-01,531.85,34.060
1944-04-01,528.78,34.060
1944-05-01,528.78,34.060
1944-06-01,525.78,34.060
1944-07-01,522.82,34.060
1944-08-01,522.82,34.060
1944-09-01,522.82,34.060
1944-10-01,522.82,34.060
1944-11-01,522.82,34.060
1944-12-01,519.89,34.060
1945-01-01,534.24,35.000
1945-02-01,534.24,35.000
1945-03-01,534.24,35.000
1945-04-01,534.24,35.000
1945-05-01,531.27,35.000
1945-06-01,525.39,35.000
1945-07-01,525.39,35.000
1945-08-01,525.39,35.000
1945-09-01,525.39,35.000
1945-10-01,525.39,35.000
1945-11-01,525.39,35.000
1945-12-01,522.48,35.000
1946-01-01,522.48,35.000
1946-02-01,525.39,35.000
1946-03-01,519.65,35.000
1946-04-01,516.81,35.000
1946-05-01,514.01,35.000
